Source_ID,Type,Title,Author/Organization,Publication_Date,URL_or_DOI,Relevance,Key_Claims_Supported
1,Official Standard,GoBD: Grundsätze ordnungsmäßiger Buchführung,"BMF (Federal Ministry of Finance, Germany)",2024-01-01,https://bundesfinanzministerium.de/gobd,Core compliance framework for ML systems in German accounting,"GoBD traceability, verifiability, immutability, 10-year retention"
2,Official Standard,XRechnung Standard 3.0.1,KoSIT (Koordinierungsstelle für IT-Standards),2023-09-22,https://xeinkauf.de,Mandatory e-invoice standard for public sector,"XRechnung 3.0.1 mandatory fields (BT-23, BT-34, BT-49)"
3,Official Standard,ZUGFeRD 2.3.3 Specification,FeRD (Forum elektronische Rechnung Deutschland),2025-05-07,https://ferd-net.de,Hybrid invoice format specification,"ZUGFeRD 2.3.3 rounding tolerances, CEN code list updates"
4,Official Standard,EN 16931 - European Standard for Electronic Invoicing,CEN (European Committee for Standardization),2017-06-30,https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT:60602,EU-wide e-invoicing standard,EN 16931 compliance for XRechnung and ZUGFeRD
5,Official Standard,IFRS 15 Revenue from Contracts with Customers,IFRS Foundation,2018-01-01,https://ifrs.org/issued-standards/list-of-standards/ifrs-15-revenue-from-contracts-with-customers/,Revenue recognition principles for forecasting,IFRS 15 five-step revenue recognition model
6,Official Standard,§14 UStG - Invoice Requirements,German Tax Code (UStG),2024-01-01,https://gesetze-im-internet.de/ustg,Legal requirements for invoice fields,§14 UStG mandatory invoice fields
7,Regulatory Guidance,BaFin Annual Report 2024: AML Compliance,BaFin (Federal Financial Supervisory Authority),2025-05-07,https://bafin.de/EN/PublikationenDaten/Jahresbericht/Jahresbericht_node.html,AML compliance and audit requirements,"BaFin enhanced AML supervision, risk-based approach"
8,Regulatory Guidance,BaFin AML Interpretation Guidance (AuA),BaFin,2024-11-29,https://bafin.de/dok/18778652,Updated AML interpretation guidance,"Updated customer due diligence, PEP screening"
9,Technical Documentation,LayoutLMv3: Pre-training for Document AI,Microsoft Research (Huang et al.),2022-07-19,https://arxiv.org/abs/2204.08387,State-of-the-art document layout understanding,LayoutLMv3 achieves SOTA on document understanding
10,Technical Documentation,TrOCR: Transformer-based OCR,Microsoft Research (Li et al.),2021-09-20,https://arxiv.org/abs/2109.10282,OCR for German text and invoices,TrOCR end-to-end transformer-based OCR
11,Academic Paper,Precision-Recall vs. ROC-AUC for Imbalanced Data,Richardson et al.,2024-05-30,https://pmc.ncbi.nlm.nih.gov/articles/PMC11076472/,Why PR-AUC is better for fraud detection,PR-AUC more sensitive to minority class than ROC-AUC
12,Academic Paper,Cost-Sensitive Learning for Imbalanced Classification,Sun et al.,2007-01-01,https://doi.org/10.1016/j.patrec.2006.12.008,Cost-sensitive learning for imbalance,Cost-sensitive learning via resampling or algorithm modification
13,Academic Paper,SHAP: SHapley Additive exPlanations,Lundberg & Lee,2017-01-01,https://arxiv.org/abs/1705.07874,Explainability for audit compliance,"SHAP provides local, instance-level feature importance"
14,Industry Report,PR-AUC vs ROC-AUC: Comparison Study,Machine Learning Mastery,2025-09-08,https://machinelearningmastery.com/roc-auc-vs-pr-auc/,Practical PR-AUC vs ROC-AUC comparison,PR-AUC preferred for imbalanced datasets
15,Industry Report,Isolation Forest vs LOF: Comparative Analysis,IEEE / Various Authors,2021-10-31,https://ieeexplore.ieee.org/document/9606201,Anomaly detection method comparison,Isolation Forest outperforms LOF on large datasets
16,Academic Paper,Autoencoder Anomaly Detection in Finance,"Various Authors (IEEE, MDPI)",2024-12-19,https://ieeexplore.ieee.org/document/10767743,Autoencoder use in financial fraud,Autoencoders detect anomalies via reconstruction error
17,Academic Paper,Fine-tuning Tesseract OCR for German Invoices,Statworx,2020-10-07,https://statworx.com/en/content-hub/blog/fine-tuning-tesseract-ocr-for-german-invoices/,Fine-tuning OCR for German invoices,Fine-tuning Tesseract improves German invoice OCR
18,Official Standard,XRechnung Version History and Updates,KoSIT,2024-09-16,https://e-rechnung-bund.de,XRechnung version updates and changes,XRechnung 3.0.1 aligns with Peppol BIS Billing 3.0
19,Official Standard,ZUGFeRD and Factur-X Compatibility,FeRD,2025-05-14,https://zeit.io/en/blog/zugferd-2-3-3-now-legally-effective/,ZUGFeRD-Factur-X compatibility,ZUGFeRD fully compatible with Factur-X
20,Regulatory Guidance,GoBD Compliance for Digital Systems,"Circula, AoDocs",2024-08-25,https://circula.com/de/lexikon/gobd,GoBD compliance requirements,"GoBD requires procedural documentation, ICS, data access"
21,Official Standard,IFRS 15 Five-Step Revenue Recognition Model,"ACCA, EFRAG",2023-07-26,https://accaglobal.com/an/en/technical-activities/technical-resources-search/2023/july/ifrs-15-revenue-recognition-steps.html,IFRS 15 implementation guide,IFRS 15 over-time vs point-in-time recognition
22,Technical Documentation,ZUGFeRD 2.3 Rounding Tolerances,FeRD,2024-11-24,https://kpmg.com/de/en/home/insights/2024/11/zugferd-version-2-3-2.html,Rounding tolerance in ZUGFeRD EXTENDED,ZUGFeRD 2.3+ allows rounding inaccuracies in EXTENDED profile
23,Regulatory Guidance,IDW PS 330 Audit Standard,IDW (Institute of Public Auditors Germany),2024-01-01,https://isae3402-audit.de/idw-ps-330/,German audit standards for IT systems,IDW PS 330 specifies IT audit procedures
24,Official Documentation,docTR: Document Text Recognition Library,Mindee,2021-01-07,https://github.com/mindee/doctr,Open-source OCR pipeline,docTR provides detection + recognition pipeline
25,Technical Documentation,LayoutLMv3 Technical Implementation Guide,"Informed IQ, UBIAI",2024-06-17,https://informediq.com/blog/layoutlm-architecture/,LayoutLMv3 implementation details,LayoutLMv3 uses unified text-image masking
26,Regulatory Guidance,BaFin Enhanced AML Supervision 2024,BaFin,2025-02-04,https://nbs-partners.de/en/blog/bafin-aml-interpretation-guidance/,BaFin 2024 AML updates,"BaFin intensified AML audits, special commissioners"
27,Official Standard,GDPR Article 22: Automated Decision-Making,EUR-Lex,2016-04-27,https://eur-lex.europa.eu/eli/reg/2016/679/oj,GDPR automated decision-making rules,GDPR Art. 22 requires human intervention for automated decisions
28,Technical Documentation,SHAP Documentation and Best Practices,"SHAP GitHub, Documentation",2017-01-01,https://shap.readthedocs.io/,SHAP library documentation,SHAP based on Shapley values from game theory
29,Regulatory Guidance,GoBD Procedural Documentation Requirements,"PWC, KMLZ",2024-04-22,https://pwc.de/en/audit-assurance/gobd-compliance.html,Procedural documentation for GoBD,GoBD procedural documentation must be version-controlled
30,Official Standard,"XRechnung Mandatory Fields (BT-23, BT-34, BT-49)","E-Rechnung Bund, Seeburger",2024-02-01,https://blog.seeburger.com/xrechnung-version-3-0-1/,New mandatory fields in XRechnung 3.0.1,XRechnung 3.0.1 effective February 2024
31,Technical Documentation,Model Drift Detection and Monitoring,"Qwak, Microsoft, Tech Community",2024-01-25,https://qwak.com/post/ml-model-monitoring-tools,Model drift detection best practices,"Model drift detection via PSI, KL divergence, ADWIN"
32,Regulatory Guidance,GDPR Data Minimization for ML Systems,GDPR Local,2025-07-02,https://gdprlocal.com/gdpr-machine-learning/,GDPR data minimization for ML,"GDPR requires data minimization, purpose limitation"
33,Industry Report,Anomaly Detection Methods: Review,"Various (Springer, IEEE)",2023-06-23,https://arxiv.org/abs/2306.12681,Survey of anomaly detection algorithms,"Isolation Forest, LOF, ECOD, Autoencoder comparison"
34,Academic Paper,Deep Learning for Fraudulent Transaction Detection,"IEEE, PeerJ, ArXiv",2024-10-17,https://peerj.com/articles/cs-2329/,Deep learning for fraud detection,Deep learning (autoencoders) improve fraud detection
35,Regulatory Guidance,AI Act: High-Risk AI Systems Requirements,European Parliament,2024-01-21,https://bvdnet.de/en/ai-act-and-gdpr/,AI Act requirements for high-risk systems,"AI Act mandates transparency, risk assessment, incident reporting"
